Node;Stake;;;247424142.6
NodeID-VT3YhgFaWEzy4Ap937qMeNEDscCammzG;30005;;;
TasMania / TasMania 2;29616.09;;;
NodeID-BvpPGydG4inQCbkwRZ3nPMp1zAGToUTxz;29475.19;;;
NodeID-F4BRUiwRgtSYGdSfysx8z1HhKKZZdairq;28149.96;;;
NodeID-Mn2isVXFR85bfjMHPM1DT8EY8wig7YhTW;27500;;;
NodeID-P4vmDd3jMeY5VgdQrXbKikSw2BMcSzHVY;27079.31;;;
NodeID-Lp887ddQT84DG8ub2kfu19RuzAJKzriSu;26985.88;;;
NodeID-DFUyhAzXyYi3TUaQYBvm5cezyEaREeSYB;26940.36;;;
Jaa / Mew;26920.22;;;
NodeID-ERqtQoJiza7yxV6eE7hW3FvEE4fW3ngyw;26899;;;
NodeID-KkZX7xaSAUZ2sGBwpGWLSfLRER4pzR8Fs;26034.4;;;
VII;25400;;;
Allnodes / Savage Goldfinch;25383.08;;;
NodeID-L6MwdnCDs69eZBXJJZ4jw4ZHW3CyZahyK;25325;;;
NodeID-C6fd6GFYMnbD44LpZR6AuddMDRXTvR5Nn;25000;;;
NodeID-GHomCXMMRTSPRZrrxEULYPFHHXEhb7qvY;24858.43;;;
NodeID-7ULxX37k6SSaTX3oF5RdrxL9r5aGZu75M;24164.26;;;
NodeID-6w8NN8PeYXnpxojbo73BUUXq6tDmV6hzr;24024.04;;;
NodeID-NJZWC8HxGtLkxjQk5F9KSG44WC3gCm8a9;23871.63;;;
NodeID-LTM3DRAzRtWoWHVtB58s5CohXKYexiqVp;23602.82;;;
Allnodes / Large Crocodile;23429.27;;;
NodeID-2eBu8RjbvCFTZMcxu1oh2oKtfHT7V4zyM;23390.39;;;
NodeID-4sdTVB59mtXepPnFRZGdCJ7UP7r7KUFhW;22985.22;;;
NodeID-TzsHrNrY8qaAkg9MPAmJd7LfzCUDjvzi;21920.44;;;
NodeID-AvYo16nRcdMuFmsEps6STb7faiRoCRgHx;21897.09;;;
NodeID-5PxpmHkfB3gNh3spZWuzEKis3DJ8WKxLt;21875.72;;;
